group,metric,n,mean,median,std,q25,q75,ci_low,ci_high
stable_correct,numeric_trace_edit_distance_normalized,80,0.4435290203019471,0.458041958041958,0.20690225970239082,0.35535714285714287,0.5944022770398483,0.39830149892549527,0.4884002927319332
stable_correct,shared_numeric_prefix_length,80,2.8875,1.0,4.603228778789234,0.0,3.0,1.8625,3.8753124999999997
broken,clean_numeric_count,40,20.7,20.5,5.871268591351862,18.0,24.25,18.874375,22.425625
broken,swap_numeric_count,40,18.775,19.0,6.584704498558256,13.0,24.25,16.774375,20.875625
broken,numeric_trace_edit_distance,40,14.75,14.5,5.564309342725156,11.5,18.25,12.949375,16.675625
broken,numeric_trace_edit_distance_normalized,40,0.6704136328552458,0.7,0.15227388386088195,0.6,0.775089605734767,0.6239070350582353,0.713547838665323
broken,shared_numeric_prefix_length,40,1.15,0.0,2.52728698156333,0.0,1.0,0.475,2.05
repaired,clean_numeric_count,33,21.848484848484848,21.0,4.874174366759539,18.0,26.0,20.2719696969697,23.51590909090909
repaired,swap_numeric_count,33,20.87878787878788,21.0,4.794251608421118,18.0,23.0,19.363636363636363,22.545454545454547
repaired,numeric_trace_edit_distance,33,16.757575757575758,16.0,4.138465167111346,14.0,20.0,15.303030303030303,18.18257575757576
repaired,numeric_trace_edit_distance_normalized,33,0.7111129891960911,0.7352941176470589,0.10707670434738613,0.6521739130434783,0.8064516129032258,0.6720995778917868,0.7437289570866942
repaired,shared_numeric_prefix_length,33,1.303030303030303,0.0,2.284251087403272,0.0,2.0,0.6060606060606061,2.212121212121212
stable_wrong,clean_numeric_count,97,20.52577319587629,21.0,6.341156544592166,16.0,25.0,19.278350515463917,21.742268041237114
stable_wrong,swap_numeric_count,97,19.969072164948454,21.0,6.755327539936262,14.0,24.0,18.628865979381445,21.392783505154636
stable_wrong,numeric_trace_edit_distance,97,15.309278350515465,16.0,6.129438569896151,11.0,19.0,14.081958762886599,16.526030927835052
stable_wrong,numeric_trace_edit_distance_normalized,97,0.6624893167397901,0.7083333333333334,0.19496381691146208,0.5652173913043478,0.8,0.6271793688717092,0.701417510869447
stable_wrong,shared_numeric_prefix_length,97,1.711340206185567,0.0,3.7582097990227727,0.0,1.0,1.0922680412371133,2.515463917525773
stable_wrong_same,clean_numeric_count,15,19.533333333333335,22.0,6.674756995755048,14.0,25.0,16.465,22.666666666666668
stable_wrong_same,swap_numeric_count,15,15.733333333333333,14.0,4.891197146283262,13.0,18.5,13.466666666666667,18.2
stable_wrong_same,numeric_trace_edit_distance,15,9.4,8.0,6.716716885077539,3.5,16.0,5.933333333333334,12.601666666666665
stable_wrong_same,numeric_trace_edit_distance_normalized,15,0.44199929699929696,0.42857142857142855,0.2685684403057039,0.3125,0.6177777777777778,0.3149694333444334,0.571513949013949
stable_wrong_same,shared_numeric_prefix_length,15,5.466666666666667,1.0,7.558029473600214,0.0,11.5,2.2,9.533333333333333
stable_wrong_different,clean_numeric_count,82,20.70731707317073,21.0,6.304001873938371,16.25,25.0,19.20731707317073,21.902439024390244
stable_wrong_different,swap_numeric_count,82,20.74390243902439,21.0,6.783806017946694,15.25,25.0,19.317073170731707,22.146646341463413
stable_wrong_different,numeric_trace_edit_distance,82,16.390243902439025,16.0,5.392624358384456,12.25,20.0,15.24390243902439,17.549085365853657
stable_wrong_different,numeric_trace_edit_distance_normalized,82,0.7028228569362217,0.7379862700228832,0.14809925154091666,0.6162280701754386,0.8,0.6699246373343326,0.7342185098875618
stable_wrong_different,shared_numeric_prefix_length,82,1.024390243902439,0.0,1.9434957035026534,0.0,1.0,0.6341463414634146,1.5121951219512195
