group,metric,n_scored,fraction_lt_0,n,mean,median,std,q25,q75,ci_low,ci_high,skip_counts
broken,clean_model_clean_rationale_clean_minus_swap_margin_norm,40,0.0,40,4.023179452859192,3.9050860695230463,1.3550422558179565,3.2211738348007204,5.188662493717857,3.623795368660078,4.405715518767334,
broken,clean_model_swap_rationale_clean_minus_swap_margin_norm,40,0.8,40,-1.8254383803062542,-2.620381096300359,2.354255935414443,-3.649457969935611,-0.07785742481549585,-2.5359451438803777,-1.1435636671403828,
broken,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,40,0.0,40,3.3754847257592098,3.267587320529856,1.1021685786440998,2.4966999019185705,4.295836645100887,3.0484019883831013,3.6991820494862426,
broken,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,40,0.8,40,-1.6285798138275276,-2.1234764395824945,2.0239232375170597,-2.972665800402562,-0.2903715968132019,-2.207419754118299,-1.001278311942578,
broken,clean_model_rationale_effect_norm,40,1.0,40,-5.848617833165446,-5.938767064300677,2.505662003640642,-7.182309023958321,-4.660810650297208,-6.624369329264628,-5.071490484958079,
broken,direct_swap_model_rationale_effect_norm,40,1.0,40,-5.004064539586738,-5.037142782503118,2.1773820674486903,-6.026167420903221,-3.868267833138816,-5.631811891281366,-4.309426999130665,
broken,model_effect_clean_rationale_norm,40,0.95,40,-0.6476947270999828,-0.675422294065356,0.31430927271801207,-0.8370118549293176,-0.44430058191064725,-0.7421570538289968,-0.549681508740027,
broken,model_effect_swap_rationale_norm,40,0.3,40,0.19685856647872635,0.28354470043753577,0.4143288870810323,-0.055313433919634114,0.5258604516275227,0.07736144834357299,0.31078292654283257,
broken,clean_model_rationale_effect_raw,40,1.0,40,-18.00247271055705,-18.816279728431255,8.241209304873392,-24.12397766718641,-12.528742008609697,-20.439024011353613,-15.52889817502306,
broken,direct_swap_model_rationale_effect_raw,40,1.0,40,-15.49302275495138,-15.496876840945333,7.136971413257701,-20.701233197702095,-10.737363666761667,-17.71339824722614,-13.207853097414482,
broken,model_effect_clean_rationale_raw,40,0.95,40,-1.8459557670110371,-1.9388533299788833,0.7879911437780123,-2.3164014061912894,-1.5044300809968263,-2.0653050991390773,-1.585708900692698,
broken,model_effect_swap_rationale_raw,40,0.275,40,0.6634941885946318,1.0467993915081024,1.194822730050202,-0.057706549763679504,1.5193582698702812,0.31553930513269735,1.0070300742820837,
repaired,clean_model_clean_rationale_clean_minus_swap_margin_norm,33,0.12121212121212122,33,2.321602473939496,3.366116235498339,2.190464094229276,0.6959869662920634,3.8842122070491314,1.589462194235318,3.0129420834939196,
repaired,clean_model_swap_rationale_clean_minus_swap_margin_norm,33,0.9696969696969697,33,-3.310389921675916,-3.3064298358124993,1.4221523595304018,-4.254987875620524,-2.7426489740610123,-3.772969924508138,-2.8300719691508665,
repaired,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,33,0.09090909090909091,33,2.0115620108728174,2.645987009008725,1.7955611473670219,0.6230915486812592,3.384239244585236,1.4035836920001183,2.63241103125959,
repaired,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,33,0.9696969696969697,33,-2.932850156956813,-2.926512259989977,1.2486257647921766,-3.7566772662103176,-2.486835244297981,-3.3111502617151443,-2.518269098307279,
repaired,clean_model_rationale_effect_norm,33,0.9393939393939394,33,-5.631992395615412,-6.328075202647597,2.7433903284451415,-7.655361142009497,-4.013569877017289,-6.54305669227334,-4.722359766908804,
repaired,direct_swap_model_rationale_effect_norm,33,0.9696969696969697,33,-4.944412167829631,-5.7167305569164455,2.3273496066523593,-6.789082969228426,-3.6558425072580576,-5.688967897463849,-4.1219259532413925,
repaired,model_effect_clean_rationale_norm,33,0.7878787878787878,33,-0.3100404630666787,-0.35047222301363945,0.4436892344067151,-0.5785183139766255,-0.01133120059967041,-0.459890695476994,-0.16975364605130067,
repaired,model_effect_swap_rationale_norm,33,0.030303030303030304,33,0.37753976471910267,0.3333332901820536,0.23232864068066786,0.2540852874517441,0.5668834438547492,0.30681664500881756,0.455117289541181,
repaired,clean_model_rationale_effect_raw,33,0.9696969696969697,33,-18.86084889761652,-21.47980441339314,9.763413947334667,-25.589559074491262,-12.209377534687519,-22.06380562330208,-15.56034169156443,
repaired,direct_swap_model_rationale_effect_raw,33,0.9696969696969697,33,-16.656014011424936,-17.110300229862332,8.414387181815037,-21.659077044576406,-10.843914380297065,-19.277547333856948,-13.990521207391144,
repaired,model_effect_clean_rationale_raw,33,0.8181818181818182,33,-0.9897473198079476,-1.0588932437822223,1.2702583151063878,-1.971878376789391,-0.04532480239868164,-1.397178256474294,-0.5512775048042056,
repaired,model_effect_swap_rationale_raw,33,0.0,33,1.2150875663836345,1.1296457145363092,0.6680351638016737,0.796909186989069,1.5470711505040526,1.0012131795590518,1.4425758388627206,
stable_wrong,clean_model_clean_rationale_clean_minus_swap_margin_norm,82,0.10975609756097561,82,2.9701312781113574,3.3589641423895955,2.029541674260628,1.2598406970500946,4.4790862433146685,2.539237014101019,3.3907956553205114,
